No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,Y
14014,711,658,53,0,0,0,0,0,0,0,0,0,1,3,0,0,299,0,0,0,0,0,0,14.7,1.334,1.574,0,0,0,0,0,0,21.357,41.745,1
14015,1298,1259,39,0,0.054,0.056,0,0,70,70,0,0,0.922,1,93,23,568,0.04,0.751,5,15.514,2.048,1.402,19.312,1.354,1.683,-2.565,-0.309,0.212,0.119,0.305,-0.009,25.818,24.841,0
14016,537,430,107,0,0,0,0,0,0,0,0,0,0.795,1,65,65,581,0.112,0,2,0,0,0,16.135,1.271,1.496,0,0,0,0,0,0,34.176,31.532,1
14017,266,266,0,0,0,0,0,0,0,0,0,0,1,1,0,0,147,0,0,3,0,0,0,15.161,1.953,2.503,0,0,0,0,0,0,14.7,20.828,1
14018,582,537,45,0,0,0,0,0,0,0,0,0,0.966,5,182,182,297,0.613,0,3,0,0,0,15.358,1.342,1.864,0,0,0,0,0,0,74.25,84.218,1
14019,109,109,0,0,0,0,0,0,0,0,0,0,0.936,6,0,0,0,0,0,0,0,0,0,30.528,1.696,1.858,0,0,0,0,0,0,0,0,1
14020,527,527,0,0,0.099,0.099,0,0,52,52,0,0,0.833,5,155,103,1089,0.095,0.959,6,10.435,1.316,1.793,10.879,0.925,1.39,0.697,1.385,-0.98,0.092,0.157,0.922,121,208.653,0
14021,96,96,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,4.369,0.432,0.718,0,0,0,0,0,0,0,0,1
14022,138,117,21,0,0.297,0.171,1,0,41,20,21,0,0.935,5,51,10,17,0.588,1.98,3,14.033,2.23,1.647,17.698,1.415,2.138,9.18,2.389,-1.033,0.902,0.043,0,5.667,3.091,0
14023,1646,689,463,494,0.033,0.052,0,0.038,55,36,0,19,0.809,1,104,49,266,0.184,5.513,7,86.767,1.361,1.051,48.55,1.404,1.508,-2.039,-0.185,0.155,-0.209,-0.367,-0.014,24.182,14.996,1
14024,428,310,118,0,0,0,0,0,0,0,0,0,0.998,5,0,0,130,0,0,1,0,0,0,33.46,1.766,1.611,0,0,0,0,0,0,32.5,30.891,1
14025,521,395,126,0,0,0,0,0,0,0,0,0,0.618,1,0,0,106,0,0,1,0,0,0,11.945,1.274,1.402,0,0,0,0,0,0,15.143,7.661,0
14026,336,336,0,0,0,0,0,0,0,0,0,0,0.94,1,0,0,89,0,0,0,0,0,0,20.711,1.228,1.966,0,0,0,0,0,0,17.8,22.328,1
14027,218,218,0,0,0,0,0,0,0,0,0,0,0.578,4,0,0,206,0,0,1,0,0,0,9.912,1.317,1.504,0,0,0,0,0,0,18.727,9.478,1
14028,559,445,114,0,0.038,0.047,0,0,21,21,0,0,0.796,1,62,41,571,0.072,1.911,2,13.939,2.27,2.228,15.131,1.75,1.665,-19.067,-3.259,-0.799,-0.403,2.878,-0.576,35.688,18.02,0
14029,444,318,126,0,0.568,0.513,0.706,0,252,163,89,0,0.822,5,280,28,144,0.194,0.343,5,32.333,1.264,2.731,17.86,1.679,1.742,14.481,-13.631,-0.119,-0.226,0.518,-0.544,13.091,9.784,0
14030,274,113,161,0,0,0,0,0,0,0,0,0,0.974,5,0,0,139,0,0,1,0,0,0,22.957,2.17,2.204,0,0,0,0,0,0,27.8,21.535,0
14031,164,117,47,0,0.122,0,0.426,0,20,0,20,0,0.616,5,73,53,89,0.596,4.883,2,5.006,0.382,0.997,27.256,1.109,2.619,1.874,-0.213,-0.566,-0.625,-0.192,0.065,44.5,14.5,0
14032,102,102,0,0,0.824,0.824,0,0,84,84,0,0,0.539,5,101,17,47,0.362,0.439,2,5.056,1.008,0.619,10.294,1.998,1.141,0,0,0,0,0,0,23.5,1.5,0
14033,1120,1120,0,0,0.045,0.045,0,0,50,50,0,0,0.602,2,52,2,344,0.006,0.13,5,13.455,3.053,2.282,19.993,1.296,1.256,-1.801,-8.088,4.66,1.443,-0.509,0.759,34.4,11.893,0
14034,574,125,224,225,0.007,0,0.018,0,4,0,4,0,0.867,4,4,0,77,0,0,2,1.042,0,0.506,62.653,1.092,1.575,-4.827,0.722,0,0,-0.388,-0.016,25.667,12.392,1
14035,140,0,140,0,0,0,0,0,0,0,0,0,1,3,0,0,29,0,0,0,0,0,0,27.073,0.788,1.094,0,0,0,0,0,0,29,0,1
14036,164,164,0,0,0,0,0,0,0,0,0,0,0.957,1,0,0,56,0,0,3,0,0,0,7.286,0.832,0.868,0,0,0,0,0,0,28,18,1
14037,106,106,0,0,0,0,0,0,0,0,0,0,1,5,0,0,112,0,0,1,0,0,0,18.994,0.858,2.405,0,0,0,0,0,0,56,52,1
14038,641,624,17,0,0.003,0.003,0,0,2,2,0,0,0.7,5,23,21,388,0.054,17.347,4,1.706,0.299,0,19.303,1.625,1.665,11.146,0,3.413,0,0,0,29.154,35.955,1
14039,677,196,481,0,0,0,0,0,0,0,0,0,1,5,0,0,14,0,0,3,0,0,0,21.168,0.571,0.634,0,0,0,0,0,0,14,0,1
14040,338,338,0,0,0.101,0.101,0,0,34,34,0,0,0.902,3,34,0,108,0,0,2,14.137,3.496,1.228,17.869,2.027,1.764,-6.912,13.632,-1.381,-0.231,0.968,-1.167,15.429,9.394,1
14041,251,251,0,0,0.271,0.271,0,0,68,68,0,0,0.733,4,79,11,65,0.169,0.625,2,8.354,1.247,1.213,14.224,2.191,1.847,-3.29,-0.595,1.888,0.953,2.835,-0.323,9.286,10.566,1
